date,max,min,location_id
2008-01-01,6.0,-0.2,1
2008-01-02,8.2,2.0,1
2008-01-03,18.2,7.2,1
2008-01-04,19.0,6.4,1
2008-01-05,21.0,7.5,1
2008-01-06,20.0,11.2,1
2008-01-07,34.0,21.3,1
2008-01-08,32.3,19.8,1
2008-01-09,30.6,18.6,1
2008-01-10,23.4,11.4,1
2008-01-11,11.0,6.0,1
2008-01-12,5.2,0.8,1
2008-01-13,7.9,0.0,1
2008-01-14,9.8,4.3,1
2008-01-15,8.6,3.2,1
2008-01-16,12.0,7.2,1
2008-01-17,11.7,5.6,1
2008-01-18,11.2,5.5,1
2008-01-19,15.2,5.3,1
2008-01-20,15.0,5.2,1
2008-01-21,14.8,4.4,1
2008-01-22,15.5,4.6,1
2008-01-23,14.6,4.4,1
2008-01-24,12.8,5.6,1
2008-01-25,10.8,7.0,1
2008-01-26,12.3,4.8,1
2008-01-27,13.6,3.6,1
2008-01-28,15.7,2.7,1
2008-01-29,14.5,4.1,1
2008-01-30,13.5,2.3,1
2008-01-31,10.5,2.4,1
2008-02-01,7.0,3.7,1
2008-02-02,10.0,2.0,1
2008-02-03,19.7,8.4,1
2008-02-04,23.0,8.8,1
2008-02-05,24.2,10.5,1
2008-02-06,21.0,12.0,1
2008-02-07,28.6,17.6,1
2008-02-08,34.8,20.8,1
2008-02-09,30.4,17.6,1
2008-02-10,24.8,11.2,1
2008-02-11,11.7,6.4,1
2008-02-12,7.8,1.2,1
2008-02-13,9.9,3.5,1
2008-02-14,9.6,6.8,1
2008-02-15,12.0,6.8,1
2008-02-16,14.4,4.7,1
2008-02-17,10.5,4.2,1
2008-02-18,9.0,6.3,1
2008-02-19,11.3,8.4,1
2008-02-20,14.2,8.5,1
2008-02-21,15.2,8.2,1
2008-02-22,16.4,7.4,1
2008-02-23,15.6,6.6,1
2008-02-24,12.0,6.9,1
2008-02-25,13.6,8.4,1
2008-02-26,16.4,6.0,1
2008-02-27,18.2,7.5,1
2008-02-28,16.1,8.9,1
2008-02-29,17.6,7.9,1
2008-03-01,7.8,4.4,1
2008-03-02,9.2,4.9,1
2008-03-03,20.6,8.7,1
2008-03-04,25.9,10.7,1
2008-03-05,26.2,12.9,1
2008-03-06,22.9,12.7,1
2008-03-07,27.0,14.0,1
2008-03-08,36.6,23.2,1
2008-03-09,28.0,17.0,1
2008-03-10,17.6,10.0,1
2008-03-11,10.8,3.2,1
2008-03-12,5.2,1.7,1
2008-03-13,20.4,8.8,1
2008-03-14,22.0,9.0,1
